beta,theta,RC,nll,success,jac_norm,relative_nll
0.5,0.8539923127993567,2.915776540902876,19335.717270962654,True,0.000727595757762349,36.619224413974734
0.51,0.8489406465496628,2.9217016714270554,19334.446086357962,True,0.000727595757762349,35.348039809283364
0.52,0.8438877635648803,2.927673726745494,19333.18982540347,True,0.0003637978829201424,34.09177885479221
0.53,0.8388334662454351,2.9336925897010726,19331.948839887296,True,0.0003637978829201424,32.85079333861722
0.54,0.8337779256534197,2.9397589299790683,19330.723487954994,True,0.000727595757762349,31.625441406315076
0.55,0.828721067632777,2.9458727972086574,19329.514134234774,True,0.001455191515524698,30.416087686095125
0.56,0.8236631020741941,2.952035304463228,19328.321149965697,True,0.0003637978829201424,29.223103417018137
0.57,0.8186040334895971,2.9582464499703303,19327.144913129217,True,0.0003637978788811745,28.046866580538335
0.58,0.8135438008454459,2.964506395491438,19325.9858085834,True,0.0003637978829201424,26.887762034719344
0.59,0.8084825418910326,2.9708159099636755,19324.844228201113,True,0.0007275957658402848,25.746181652433734
0.6,0.8034204058495515,2.9771754942105804,19323.7205710111,True,0.0010913936366435237,24.622524462422007
0.61,0.7983573016265344,2.983585528496885,19322.615243342727,True,0.0,23.517196794047777
0.62,0.7932934171723767,2.990046444465437,19321.528658974497,True,0.001455191515524698,22.430612425818254
0.63,0.7882286046286183,2.9965584507018477,19320.46123928592,True,0.0003637978829201424,21.36319273724075
0.64,0.7831632249404784,3.003122607690718,19319.413413413622,True,0.000727595757762349,20.315366864942916
0.65,0.778097072608742,3.009738716191345,19318.385618411037,True,0.0,19.287571862358163
0.66,0.7730303685236585,3.0164076399610757,19317.378299412398,True,0.0010913936366435237,18.280252863718488
0.67,0.7679631026993108,3.023129892445784,19316.391909800717,True,0.0003637978829201424,17.293863252038136
0.68,0.7628953349689941,3.0299055737081213,19315.42691138032,True,0.0003637978829201424,16.328864831641113
0.69,0.7578272660814882,3.036735725242876,19314.483774553577,True,0.0010913936366435237,15.385728004897828
0.7,0.7527587110811307,3.043620219041946,19313.562978502294,True,0.0,14.464931953614723
0.71,0.7476899960902674,3.0505601252906582,19312.665011373974,True,0.0003637978829201424,13.566964825295145
0.72,0.7426210355168343,3.0575556152642562,19311.790370472663,True,0.0003637978829201424,12.692323923984077
0.73,0.7375518999420531,3.0646070745912932,19310.939562455005,True,0.0007275957658402848,11.841515906326094
0.74,0.7324826899361385,3.071715007897709,19310.11310353153,True,0.000727595757762349,11.015056982851092
0.75,0.7274136000483863,3.0788806960985684,19309.311519672843,True,0.0003637978788811745,10.213473124164011
0.76,0.7223445307291245,3.086103786607567,19308.535346822093,True,0.0010913936366435237,9.437300273413712
0.77,0.7172756075106727,3.0933850776042715,19307.785131112232,True,0.000727595757762349,8.687084563553071
0.78,0.712206927169116,3.1007251225506227,19307.061429089747,True,0.0003637978829201424,7.9633825410674035
0.79,0.7071386336401931,3.1081247962152703,19306.364807944094,True,0.0,7.266761395414505
0.8,0.7020706441712002,3.115583973361402,19305.695845743638,True,0.000727595757762349,6.5977991949584975
0.81,0.6970031753050936,3.1231037046240475,19305.05513167765,True,0.0007275957658402848,5.957085128971812
0.82,0.6919361629693913,3.130683772881017,19304.443266305287,True,0.0,5.345219756607548
0.83,0.6868699875332619,3.1383262527682123,19303.8608618109,True,0.0003637978829201424,4.762815262220101
0.84,0.6818044773413178,3.146030603336946,19303.308542267452,True,0.0,4.210495718773018
0.85,0.6767396723212109,3.153797104471032,19302.78694390572,True,0.0003637978829201424,3.6888973570421513
0.86,0.6716759169498596,3.161627430823272,19302.296715392204,True,0.0003637978788811745,3.1986688435245014
0.87,0.6666129874113832,3.1695209124335584,19301.83851811431,True,0.000727595757762349,2.740471565630287
0.88,0.661551193301096,3.177478872958555,19301.4130264736,True,0.0003637978829201424,2.314979924922227
0.89,0.6564906162920674,3.185502118090313,19301.020928187245,True,0.0003637978829201424,1.922881638565741
0.9,0.6514313559904974,3.193591090974293,19300.66292459826,True,0.000727595757762349,1.56487804957942
0.91,0.6463733618856979,3.201745917087945,19300.33973099426,True,0.0,1.2416844455801765
0.92,0.6413167442358829,3.2099671787261554,19300.052076935437,True,0.0010913936366435237,0.9540303867579496
0.93,0.6362618251992923,3.218256213469354,19299.800706591865,True,0.000727595757762349,0.7026600431854604
0.94,0.6312085313113984,3.226613389796586,19299.586379090822,True,0.0003637978788811745,0.48833254214332555
0.95,0.626156957473915,3.2350389780180584,19299.4098688737,True,0.0003637978829201424,0.31182232502033
0.96,0.6211072290995262,3.2435337704026606,19299.271966063505,True,0.0003637978788811745,0.17391951482568402
0.97,0.6160594429255069,3.2520984035254417,19299.173476843076,True,0.0007275957658402848,0.07543029439693782
0.98,0.6110137040075221,3.2607334099920826,19299.11522384428,True,0.0003637978829201424,0.017177295601868536
0.99,0.6059701603112583,3.269439775992357,19299.09804654868,True,0.0007275957658402848,0.0
