delta,start,objective,theta,software_success,projected_grad_inf,active_bounds,policy_effect,message,lr,in_95_set
0.1,0,342.39146633095146,"[1.036272589217422, 0.7767973766737142, 0.19248652843340577, 0.1, 0.09714018154713264]",True,0.00020653998662484296,,0.07260055886643843,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27882868071526445,False
0.1,1,342.39148403744286,"[1.0364105681832647, 0.7769016090791454, 0.20159139228138237, 0.1, 0.18775953294118775]",True,0.00017430577832946992,,0.07260059144913945,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788640936980755,False
0.1,2,342.391486426905,"[1.037109142274299, 0.7765233190720341, 0.2758330061829202, 0.1, 0.9215613570748035]",True,0.033538027364635736,,0.07256215083986689,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788688726222972,False
0.15,0,342.39145793365964,"[1.0362269539820816, 0.7767645954684452, 0.13725331976761065, 0.15, 0.03]",True,4.3315598159399116e-06,3:lower,0.07260075686601457,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27881188613162067,True
0.15,1,342.39145793365896,"[1.0362270643407654, 0.7767644034146622, 0.13725367638963587, 0.15, 0.03]",True,1.1163055368967889e-08,3:lower,0.07260073720978674,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788118861302564,True
0.15,2,342.39147097719365,"[1.036213542339823, 0.7767554724260141, 0.278265422634509, 0.15, 0.97]",True,3.8348134667742784e-08,3:upper,0.07260038680001628,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788379731996429,True
0.2,0,342.39147821362917,"[1.036517452214667, 0.7780622336257901, 0.08764540466037422, 0.2, 0.032578801716543176]",True,0.021636127379315973,,0.07270753022646949,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788524460706867,False
0.2,1,342.3914635106648,"[1.0363432312838576, 0.7768507243495069, 0.08878079373546276, 0.2, 0.03]",True,2.5647772261550017e-07,3:lower,0.07260092397580106,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788230401419014,True
0.2,2,342.3914943586202,"[1.0363112440119275, 0.7768295898254854, 0.2768086143826642, 0.2, 0.97]",True,5.602023289696945e-10,3:upper,0.07260009508884958,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.27888473605275976,True
0.25,0,342.39146688688186,"[1.0364956482223047, 0.7769636938225074, 0.04031255213764346, 0.25, 0.03]",True,1.259142656806489e-08,3:lower,0.07260125244937833,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27882979257606166,True
0.25,1,342.3914668868818,"[1.036495648185071, 0.7769636936740285, 0.04031255227329192, 0.25, 0.03]",True,1.3563372647240612e-11,3:lower,0.07260125243730536,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.278829792575948,True
0.25,2,342.3915269609879,"[1.0364333392711271, 0.7769225294160926, 0.2753668000700692, 0.25, 0.97]",True,6.101865173135934e-07,3:upper,0.07259964007677716,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27894994078815216,True
0.3,0,342.3914662487431,"[1.0366855594614568, 0.7771041064888583, -0.00815246725484204, 0.3, 0.03]",True,6.021458887062181e-10,3:lower,0.0726017610975894,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.27882851629851757,True
0.3,1,342.3914662487431,"[1.0366855594574673, 0.7771041064236242, -0.008152467161549415, 0.3, 0.03]",True,5.717684103956344e-10,3:lower,0.07260176109169317,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.27882851629851757,True
0.3,2,342.3915696857879,"[1.0365781981842617, 0.7770331859428784, 0.2739411191244479, 0.3, 0.97]",True,2.0003939145141203e-06,3:upper,0.07259898658426081,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27903539038811687,True
0.35,0,342.3914597433286,"[1.0369141281674568, 0.777272703495668, -0.056615710493175826, 0.35, 0.03]",True,3.242354207344533e-08,3:lower,0.07260248798463646,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27881550546953804,True
0.35,1,342.3914597433286,"[1.0369141282029173, 0.7772727035767661, -0.05661571040670508, 0.35, 0.03]",True,4.249001150924414e-11,3:lower,0.07260248798880696,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.27881550546953804,True
0.35,2,342.39162330195416,"[1.0367442572892391, 0.7771604038482336, 0.27253272108441684, 0.35, 0.97]",True,2.2087886533128653e-06,3:upper,0.07259809670111121,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2791426227206557,True
0.4,0,342.39146431124044,"[1.0371296421196934, 0.7773967038467021, -0.09755449942758729, 0.4, 0.047678250385557036]",True,0.020870698738050253,,0.07256921293404323,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788246412932267,False
0.4,1,342.39147693971614,"[1.0365836118014975, 0.7783517762468583, -0.1011824661125008, 0.4, 0.043201482913400785]",True,0.039630937131278854,,0.07267348777214931,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2788498982446299,False
0.4,2,342.39168844560976,"[1.036929948777162, 0.7773030575965343, 0.27114267250424995, 0.4, 0.97]",True,5.4913374736287324e-08,3:upper,0.07259693733446762,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27927291003186383,True
0.44999999999999996,0,342.39142045678483,"[1.0378724635280636, 0.7779788200639203, -0.1496352873030954, 0.44999999999999996, 0.038526612721164186]",True,1.1598174793903127e-06,,0.0726057553498468,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27873693238200303,True
0.44999999999999996,1,342.3914204567974,"[1.0378732545844962, 0.7779790508388232, -0.14962617007893317, 0.44999999999999996, 0.038544591442902586]",True,5.273306146635903e-05,,0.07260571981501417,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2787369324071278,False
0.44999999999999996,2,342.3917656212359,"[1.0371336568958518, 0.7774601567879811, 0.2697717632617179, 0.44999999999999996, 0.97]",True,7.717231165216276e-08,3:upper,0.07259549067039728,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27942726128412687,True
0.5,0,342.3913697864996,"[1.0393190909942691, 0.7790452215890339, -0.18817180541020434, 0.5, 0.057152082681667146]",True,3.3699696304623217e-06,,0.07261051660820077,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27863559181150777,True
0.5,1,342.3913697864996,"[1.0393191076278456, 0.779045272710252, -0.18817134289867274, 0.5, 0.05715311195433289]",True,2.1796514371175135e-08,,0.07261051876568417,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27863559181150777,True
0.5,2,342.3918552041504,"[1.0373538407970049, 0.7776305562201665, 0.26842097238642726, 0.5, 0.97]",True,5.575949444391881e-07,3:upper,0.0725937258381363,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27960642711309447,True
0.5499999999999999,0,342.39128468279233,"[1.040968696996218, 0.7802589693401178, -0.22694159265090344, 0.5499999999999999, 0.07195545812567082]",True,1.6180319412306687e-05,,0.07261646510016123,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2784653843970091,True
0.5499999999999999,1,342.3912846827902,"[1.0409684804104022, 0.7802591772202979, -0.2269420798614931, 0.5499999999999999, 0.07195558638389837]",True,2.3098478054706106e-06,,0.07261648930681368,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.278465384392689,True
0.5499999999999999,2,342.3919574441768,"[1.0375889968775227, 0.7778131348725379, 0.2670912307843104, 0.5499999999999999, 0.97]",True,3.1943243605780935e-09,3:upper,0.0725916151496029,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27981090716593826,True
0.6,0,342.3911590137658,"[1.0428275082868244, 0.7816260752102946, -0.26588718290183927, 0.6, 0.0840002852542605]",True,1.3593002244238761e-05,,0.07262389656364725,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2782140463439191,True
