rep,n,seed,estimator,model,theta,objective,software_success,numerical_accept,active_bounds,geometry,inference_eligible,se,cover,holdout_rmse,baseline_rmse,post_policy_rmse,stress_rmse,policy_effect_hat,policy_effect_true
n600_s104,600,104,mle,mixture,"[1.8928075263318769, 1.3062230151724379, -2.5, 3.8625562964806863, 0.2697278109354826]",342.1591294878151,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.012291332868008154,0.030159123699087957,0.037228673048025566,0.039549960052732064,0.07634511151622148,0.07504050783090532
n600_s104,600,104,mle,single,"[1.0360825889645722, 0.7766566086334861, 0.28271413152532265]",342.39144520381933,True,True,,interior,True,"[0.16695010210532607, 0.23397858276855896, 0.3579205218859086]","[false, false, false]",0.010361857057651096,0.011281405376755907,0.009210869299768195,0.010554152038196013,0.0726006331392665,0.07504050783090532
n600_s104,600,104,smm,mixture,"[1.299267934457095, 0.9854852772854188, -2.5, 3.038909934432939, 0.1143847407257659]",0.010086196719452704,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.009564930962307736,0.019366867791890053,0.023312725499117202,0.02332199673043451,0.07702519433222094,0.07504050783090532
n600_s104,600,104,smm,single,"[1.0521632291210572, 0.8103307550304111, 0.250100725103903]",0.011650118687253198,True,True,,interior,True,"[0.1725600734867265, 0.2419107084264752, 0.3633467781763962]","[false, false, false]",0.00910190354574049,0.010941995992739905,0.011306348938127207,0.01082636012489899,0.07527440577939526,0.07504050783090532
n600_s211,600,211,mle,mixture,"[1.5257704778439876, 0.5184997882898189, -2.4313951157014237, 4.0, 0.10817898419918344]",331.83361709868336,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.032673018106331136,0.05348376584412616,0.07122494562975985,0.09020287106157328,0.03621494683134497,0.07504050783090532
n600_s211,600,211,mle,single,"[1.0998965516376096, 0.34284995115518074, 1.0784569429872846]",332.3421523104057,True,True,,interior,True,"[0.17776811839213652, 0.2303375394413004, 0.37577709541301135]","[false, false, false]",0.03338882973470951,0.05481333160993627,0.08030556807915828,0.09915356144621108,0.030699442528301243,0.07504050783090532
n600_s211,600,211,smm,mixture,"[1.6548652282619776, 0.464764111718828, -2.0519409937714834, 4.0, 0.14985632978626576]",0.051689216426527684,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.03611835739909283,0.060197090481851234,0.07987570296021577,0.10253919441346179,0.030188450210599693,0.07504050783090532
n600_s211,600,211,smm,single,"[1.0580631642316591, 0.2862040228657883, 1.1251956776086145]",0.06749395162416287,True,True,,interior,True,"[0.1823532161703172, 0.23344538304510493, 0.3711365314911121]","[false, false, false]",0.03577705853785289,0.05981422418463858,0.08769736270397975,0.10863098168527958,0.025899690937390547,0.07504050783090532
n600_s307,600,307,mle,mixture,"[2.082437169309476, 1.429316858637894, -2.3408143370006544, 3.141019087226706, 0.21841460464762372]",330.3816758231893,True,True,,interior,True,"[1.2960506313818747, 0.9249246107491694, 2.236578074499058, 2.6392869943703454, 0.24612454809363374]","[true, true, true, true, true]",0.04284537103165016,0.07877274588141438,0.09070872939357039,0.08548862511428364,0.08831744739830064,0.07504050783090532
n600_s307,600,307,mle,single,"[1.476286755310964, 0.9957658025560786, 0.21886850937655766]",330.46308464114503,True,True,,interior,True,"[0.1830733701045075, 0.24600656297820644, 0.3641576887767422]","[false, false, false]",0.04404989006421528,0.06647563215151835,0.07207341089853997,0.06831658159805223,0.08220292455228735,0.07504050783090532
n600_s307,600,307,smm,mixture,"[2.5, 1.7352880351448867, -2.5, 3.6475549895249038, 0.2899728751533346]",0.12164503384258088,True,True,0:upper|2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.043478989710990346,0.08575330511217517,0.1000981568020185,0.0942716567759093,0.09244638416728236,0.07504050783090532
n600_s307,600,307,smm,single,"[1.498863808054018, 1.076544238351064, 0.14069018929279514]",0.13056163164340007,True,True,,interior,True,"[0.1880990198855057, 0.26641970409192095, 0.3726634079006575]","[false, false, false]",0.044511360022770285,0.06716638170907394,0.07591841971116832,0.07082062590306003,0.08773496097290913,0.07504050783090532
n600_s419,600,419,mle,mixture,"[1.3056900764172434, 0.9948908063647641, -0.23853965936910645, 4.0, 0.8069631196222712]",336.1219681291708,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.019948749778663503,0.01978730434358771,0.02011245360415751,0.02103454590898643,0.07459839998009629,0.07504050783090532
n600_s419,600,419,mle,single,"[1.1523384613783108, 0.8614386247714927, 0.21483535816833546]",336.1931148229788,True,True,,interior,True,"[0.17034456652809787, 0.23927085098472092, 0.3674686802875768]","[false, false, false]",0.01815266149034227,0.02581756402162149,0.02862627641279776,0.02690343060077683,0.07818309491571512,0.07504050783090532
n600_s419,600,419,smm,mixture,"[1.2784226795364961, 0.9950582739409194, -0.13295382135817205, 4.0, 0.8663158896458207]",0.007275195283437553,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.02135136817291951,0.023979187896751204,0.025767159040145052,0.023314984684994523,0.07883691067689336,0.07504050783090532
n600_s419,600,419,smm,single,"[1.1818742413433043, 0.911838808612905, 0.160634001999656]",0.00816403591437139,True,True,,interior,True,"[0.175940211707656, 0.24829971152648786, 0.37485020820779696]","[false, false, false]",0.02049873148781846,0.03006229786030419,0.03565154028750175,0.033182146971492285,0.08194382690120394,0.07504050783090532
n600_s523,600,523,mle,mixture,"[1.8228205588599609, 1.1546254500680833, -0.9133891030564736, 3.4701141757992024, 0.43204887594383506]",312.8227211657437,True,True,,interior,True,"[1.119338116721372, 0.6970586619068477, 2.284040071083375, 2.106446318186777, 0.4332090942599271]","[true, true, true, true, true]",0.03626909063748842,0.040253684478567045,0.05161019811440747,0.049554488958541774,0.06323930745137334,0.07504050783090532
n600_s523,600,523,mle,single,"[1.1939360623250863, 0.7628054715777508, 0.6563533027044898]",313.14832666074835,True,True,,interior,True,"[0.18289846648832256, 0.24130777556392288, 0.3769574989236446]","[false, false, false]",0.038319254081486294,0.03429154212936846,0.04487157593257976,0.042725969300072275,0.06495530061352892,0.07504050783090532
n600_s523,600,523,smm,mixture,"[1.8665196448056862, 1.1847416122705732, -0.7568720489887667, 4.0, 0.503308316644378]",0.01853700131326306,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.034264055075190106,0.04409112843323219,0.05711775713571333,0.05591763726525592,0.06043697958681406,0.07504050783090532
n600_s523,600,523,smm,single,"[1.243934688956114, 0.7566531111598914, 0.6831822861586285]",0.03971926561067448,True,True,,interior,True,"[0.18341048917729624, 0.24842366748977945, 0.38894185054965946]","[false, false, false]",0.03686048324339694,0.034994225015566434,0.04619383325509977,0.045481177151571274,0.06388750991582738,0.07504050783090532
n600_s631,600,631,mle,mixture,"[2.030779656046652, 1.4643647281589913, -2.448905472506271, 4.0, 0.3204628637330209]",339.60435064024716,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.014320098788065895,0.03057924298781947,0.03889686394139436,0.04118663650515672,0.08047012141456272,0.07504050783090532
n600_s631,600,631,mle,single,"[1.0842332827498686, 0.7365424035647586, 0.3669352020813633]",340.1228820315284,True,True,,interior,True,"[0.16969203383722986, 0.22691351144695984, 0.35880206925515556]","[false, false, false]",0.013153872947317716,0.017864979981708225,0.014593341144640766,0.02005312603864666,0.06814633182178648,0.07504050783090532
n600_s631,600,631,smm,mixture,"[2.0459249602246548, 1.4122696253905584, -2.5, 4.0, 0.2882370489612383]",0.10530433865264252,True,True,2:lower|3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.009936918188091068,0.03319774793236599,0.0420450457049904,0.04409896062215235,0.07854325209727399,0.07504050783090532
n600_s631,600,631,smm,single,"[1.084644061064903, 0.7789372755781375, 0.3340642024735355]",0.11075170709840729,True,True,,interior,True,"[0.1763301100265722, 0.2294566933466623, 0.36691172837754116]","[false, false, false]",0.007437297643025609,0.01196565945864332,0.010963203505751308,0.013205893990061553,0.07158567663208251,0.07504050783090532
n3000_s104,3000,104,mle,mixture,"[1.4466963759589806, 0.9185042186755545, -2.5, 3.1205227162858313, 0.0650143528134241]",1651.3172103660331,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.021174279026192233,0.03880100915645716,0.04283987978096798,0.04388188419936598,0.0717063283857684,0.07504050783090532
n3000_s104,3000,104,mle,single,"[1.2763121062512661, 0.8111296388157464, 0.44283571850008263]",1651.5268458738988,True,True,,interior,True,"[0.07879320901485472, 0.1074553780898189, 0.16595471989045546]","[false, false, false]",0.020635287381123267,0.03415657519378081,0.03600725007274802,0.03793994312813701,0.07038269014665477,0.07504050783090532
n3000_s104,3000,104,smm,mixture,"[1.4749951113854907, 0.9287220424236455, -2.5, 3.1294915508540555, 0.06571638241455494]",0.049507986417570225,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.023031714279662524,0.04169893346875027,0.04596778798992636,0.04685077878054515,0.07191453911457488,0.07504050783090532
n3000_s104,3000,104,smm,single,"[1.2956566038938702, 0.8241123773425997, 0.43776977454622856]",0.0558914591191422,True,True,,interior,True,"[0.08017155971894623, 0.11139359128875805, 0.16775395477975052]","[false, false, false]",0.02220169366666076,0.03639897006857184,0.03847083627041344,0.039942935976822976,0.07109401269294294,0.07504050783090532
n3000_s211,3000,211,mle,mixture,"[2.139567382849734, 1.05205664085955, -1.7779989552613502, 4.0, 0.30471527663209136]",1678.1368415215534,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.018509278045237016,0.04104446915804655,0.04733964076541151,0.06035876650341749,0.05758253396453164,0.07504050783090532
n3000_s211,3000,211,mle,single,"[1.121295225043348, 0.5689086893784775, 0.683668175806108]",1679.5510977046702,True,True,,interior,True,"[0.07678893084086184, 0.10521574154605388, 0.16328333430537442]","[false, false, false]",0.017854805547966146,0.031551610156944444,0.038692272357890675,0.052424260517256,0.05173978079847363,0.07504050783090532
n3000_s211,3000,211,smm,mixture,"[2.1421273164382986, 1.02467277271399, -1.6590840113365097, 4.0, 0.3198066155526339]",0.06757309632843583,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.01994119925474307,0.040997168781122015,0.0470229311548974,0.06150334531730976,0.05567976074520892,0.07504050783090532
n3000_s211,3000,211,smm,single,"[1.1144549504062662, 0.5550966483009266, 0.6955229501637614]",0.08180768201428436,True,True,,interior,True,"[0.07717569789700837, 0.10843574461808492, 0.16713124437406862]","[false, false, false]",0.018502231460835097,0.03252377597013396,0.039887502467616846,0.054351068804760906,0.05061648068750282,0.07504050783090532
n3000_s307,3000,307,mle,mixture,"[1.7086967150533379, 1.314042654514958, -2.2515601772305325, 3.5625113387363765, 0.27124501878419915]",1659.922466992424,True,True,,interior,True,"[0.6095937436597456, 0.4707044936773959, 1.1201147053802512, 1.448888106160972, 0.07658169304212877]","[true, true, true, true, false]",0.014508401486542082,0.017047874282567082,0.022997358691850277,0.02504854933840389,0.07884331213694548,0.07504050783090532
n3000_s307,3000,307,mle,single,"[1.0160585841997511, 0.790830909936766, 0.359182115995494]",1660.2680347852033,True,True,,interior,True,"[0.07714816399350345, 0.10696730398927841, 0.16427194807133602]","[false, false, false]",0.012389121932551966,0.012139678496711399,0.013552634452185833,0.012572202517522474,0.072555068030077,0.07504050783090532
n3000_s307,3000,307,smm,mixture,"[1.8413304380670545, 1.328601707073569, -2.4785146410847756, 3.913613250748883, 0.25901296278296443]",0.019608866099501413,True,True,,interior,True,"[1.013130606156383, 0.6585825584212956, 1.4056001894584924, 2.1140153515930566, 0.07339628176934179]","[true, true, true, true, false]",0.016073138059838083,0.02069444984147802,0.028978956965696388,0.03073075837100475,0.0761529057750847,0.07504050783090532
