rep,estimator,model,start,initial,final,objective,raw_grad_inf,projected_grad_inf,raw_gradient,projected_gradient,active_bounds,software_success,status,message,distance_from_best,numerical_accept
n600_s104,mle,mixture,0,"[1.15, 0.9, -0.3, 1.5, 0.58]","[1.8928063534612911, 1.3062240245451142, -2.5, 3.8625544570204644, 0.2697280303107815]",342.1591294878259,0.1517621335679682,4.848279270319722e-05,"[-6.036248128893362e-06, 1.6712774326688162e-06, 0.1517621335679682, -1.332577789114886e-06, 4.848279270319722e-05]","[-6.036248128893362e-06, 1.6712774326688162e-06, 0.0, -1.332577789114886e-06, 4.848279270319722e-05]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0800249583553523e-11,False
n600_s104,mle,mixture,1,"[0.8, 0.6, -0.8, 0.5, 0.35]","[1.8928075263318769, 1.3062230151724379, -2.5, 3.8625562964806863, 0.2697278109354826]",342.1591294878151,0.1517671577352504,2.465813945029538e-06,"[5.1680367763040636e-09, 4.841826410917349e-07, 0.1517671577352504, 9.450821680800914e-08, -2.465813945029538e-06]","[5.1680367763040636e-09, 4.841826410917349e-07, 0.0, 9.450821680800914e-08, -2.465813945029538e-06]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n600_s104,mle,mixture,2,"[1.5, 1.2, 0.2, 2.5, 0.75]","[1.036086097758826, 0.7766587491818323, 0.282082644996026, 0.02, 0.9683669151096688]",342.39144558700104,3.916954044171084e-05,3.274040218470553e-05,"[3.274040218470553e-05, 3.785779564502434e-06, 1.9324665041509093e-06, 3.916954044171084e-05, -1.171888322951814e-05]","[3.274040218470553e-05, 3.785779564502434e-06, 1.9324665041509093e-06, 0.0, -1.171888322951814e-05]",3:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23231609918593676,False
n600_s104,mle,mixture,3,"[0.9878641449443226, 1.9090594905764986, 0.23078455693903077, 3.281244260674588, 0.4367301079933619]","[1.8928076333107136, 1.306223009851872, -2.5, 3.862556494684844, 0.2697278189227531]",342.1591294878151,0.15176741283754303,3.0774834147706542e-06,"[-1.1601284133355705e-07, 4.261175146069718e-07, 0.15176741283754303, 3.542951932944405e-07, -3.0774834147706542e-06]","[-1.1601284133355705e-07, 4.261175146069718e-07, 0.0, 3.542951932944405e-07, -3.0774834147706542e-06]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n600_s104,mle,mixture,4,"[1.0727306550346227, 0.3831654260209497, -2.1123393151775574, 2.1950206801831538, 0.9080137179665303]","[1.8928079863652687, 1.3062223408979061, -2.5, 3.8625576410828737, 0.26972783658636246]",342.1591294878249,0.15174533542486035,0.00012743440385598603,"[1.185989222496353e-05, -3.830888821432232e-05, 0.15174533542486035, -1.0980583156738888e-05, 0.00012743440385598603]","[1.185989222496353e-05, -3.830888821432232e-05, 0.0, -1.0980583156738888e-05, 0.00012743440385598603]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.777068044058979e-12,False
n600_s104,mle,mixture,5,"[0.4501780713882581, 0.6689948926761257, -0.3703001899938907, 1.432052029927092, 0.9148674775350037]","[1.0360850182056276, 0.7766584273638755, 0.2821149728306716, 0.02, 0.97]",342.3914455678692,3.716807572459735e-05,2.2636409857668127e-08,"[2.2636409857668127e-08, -1.3949796873191644e-08, -1.810881400388098e-08, 3.716807572459735e-05, -1.1726979281860561e-05]","[2.2636409857668127e-08, -1.3949796873191644e-08, -1.810881400388098e-08, 0.0, 0.0]",3:lower|4:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23231608005409043,True
n600_s104,mle,mixture,6,"[1.2456761281901279, 1.4723326248731052, -1.3016586001673507, 2.760523993358971, 0.9053126636795755]","[1.892807559747581, 1.3062229734667667, -2.5, 3.862556441572853, 0.26972781488850156]",342.15912948781516,0.15176678776114505,1.1560137549437854e-06,"[-3.211156106575075e-07, -6.267953824856676e-07, 0.15176678776114505, 2.6460208191192436e-07, 1.1560137549437854e-06]","[-3.211156106575075e-07, -6.267953824856676e-07, 0.0, 2.6460208191192436e-07, 1.1560137549437854e-06]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.684341886080802e-14,True
n600_s104,mle,mixture,7,"[0.7793962457530773, 1.0787855014688652, 0.03322777754915274, 3.6203637769424355, 0.9250256325697818]","[1.0360850833515716, 0.7766585593056096, 0.2821095569612784, 0.02, 0.9697351523229696]",342.3914455709744,3.75415113835903e-05,1.175771150235122e-05,"[2.7498209043130828e-08, 4.801248320696061e-06, 1.8942882245021053e-06, 3.75415113835903e-05, -1.175771150235122e-05]","[2.7498209043130828e-08, 4.801248320696061e-06, 1.8942882245021053e-06, 0.0, -1.175771150235122e-05]",3:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23231608315927588,True
n600_s104,mle,single,0,"[1.0, 0.8, 0.2]","[1.0360823457792228, 0.7766563404218858, 0.2827141354214803]",342.3914452038242,4.525068739846816e-05,4.525068739846816e-05,"[1.0092786203452775e-05, -4.525068739846816e-05, -2.8137059331800884e-05]","[1.0092786203452775e-05, -4.525068739846816e-05, -2.8137059331800884e-05]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.888534022029489e-12,False
n600_s104,mle,single,1,"[0.6, 0.5, -0.8]","[1.036082534847635, 0.7766565808436053, 0.28271411493576315]",342.39144520381944,5.3399509378770915e-06,5.3399509378770915e-06,"[5.385095052101718e-07, -5.3399509378770915e-06, -3.5340692181584643e-06]","[5.385095052101718e-07, -5.3399509378770915e-06, -3.5340692181584643e-06]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1368683772161603e-13,True
