index,start_id,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_max,optimizer_success,accepted,status,message,nit,distance_from_best
unrestricted,0,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4, -0.7]","[-2.0209578021891446, 1.2070151816837766, -2.0, 0.4844748438405202, 0.5381861678731553, -0.07989209552128282]",1316.9230782435861,"[-1.934124620994737e-05, -7.447677603656111e-05, 0.02496341877987085, 4.744244582255419e-05, 0.00023520742767679792, -1.7585281066878622e-06]","[-1.934124620994737e-05, -7.447677603656111e-05, 0.0, 4.744244582255419e-05, 0.00023520742767679792, -1.7585281066878622e-06]",0.00023520742767679792,True,False,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,8.571987564209849e-11
unrestricted,1,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8, -1.1]","[-2.020956824592555, 1.2070155303079426, -2.0, 0.4844753325677798, 0.5381855309277881, -0.07989323621223227]",1316.9230782435366,"[0.0001526472196289319, 0.00025760735376577316, 0.024942212547163223, -0.0002101952233282134, 6.264065884353798e-05, 2.295044005462543e-05]","[0.0001526472196289319, 0.00025760735376577316, 0.0, -0.0002101952233282134, 6.264065884353798e-05, 2.295044005462543e-05]",0.00025760735376577316,True,False,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,52,3.61524143954739e-11
unrestricted,2,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1, 0.2]","[-2.0209573568415986, 1.2070156330944015, -2.0, 0.48447529426413655, 0.538185186427941, -0.07989381974962986]",1316.9230782435195,"[-1.4730511065152996e-05, -2.811918975885141e-05, 0.02496336245586317, 2.1484880932121087e-05, -0.00011086853921726814, -9.474590759062096e-06]","[-1.4730511065152996e-05, -2.811918975885141e-05, 0.0, 2.1484880932121087e-05, -0.00011086853921726814, -9.474590759062096e-06]",0.00011086853921726814,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,1.9099388737231493e-11
unrestricted,3,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0, -1.8]","[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698, -0.07989297940902368]",1316.9230782435004,"[-3.41095662115265e-06, -1.6213863114529905e-06, 0.024963831374552825, -3.1725802358550936e-06, -1.1369414981032833e-05, -2.7437542873265386e-06]","[-3.41095662115265e-06, -1.6213863114529905e-06, 0.0, -3.1725802358550936e-06, -1.1369414981032833e-05, -2.7437542873265386e-06]",1.1369414981032833e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40,0.0
unrestricted,4,"[-2.3, 1.0296194171811581, -1.2039728043259361, 0.7419373447293773, -0.2, 0.7]","[-2.0209578751565664, 1.2070151080433567, -2.0, 0.48447447914739733, 0.5381853820482896, -0.07989303123620567]",1316.9230782435166,"[-3.2226923853073686e-05, -6.560149817003399e-05, 0.024964513428051838, 9.072477233473819e-06, -3.678384807814794e-05, -2.3195285169475e-05]","[-3.2226923853073686e-05, -6.560149817003399e-05, 0.0, 9.072477233473819e-06, -3.678384807814794e-05, -2.3195285169475e-05]",6.560149817003399e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,1.6143530956469476e-11
unrestricted,5,"[-1.0, 0.5877866649021191, -0.2231435513142097, 0.47000362924573563, 0.6, -0.3]","[-2.0209584538570113, 1.2070152702178252, -2.0, 0.48447447072785466, 0.538185529362739, -0.07989135959416956]",1316.923078243517,"[-1.9239536136694824e-05, 2.723548388145701e-05, 0.024974196456602815, -5.0732813257070575e-06, 1.595180485480796e-06, 1.3032579812222167e-05]","[-1.9239536136694824e-05, 2.723548388145701e-05, 0.0, -5.0732813257070575e-06, 1.595180485480796e-06, 1.3032579812222167e-05]",2.723548388145701e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,1.659827830735594e-11
0.1,0,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-0.6695934589513296, 1.439157704311766, -0.32793497272205124, 0.9785634818402128, 0.53377486774642]",1318.1292187513445,"[-0.0003321873874991832, -0.0001148673792695091, 0.00045847982827496025, 0.0001223549476065955, 0.00024582753247437417]","[-0.0003321873874991832, -0.0001148673792695091, 0.00045847982827496025, 0.0001223549476065955, 0.00024582753247437417]",0.00045847982827496025,True,False,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,3.999502951046452e-10
0.1,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-0.6695934589513296, 1.439157704311766, -0.32793497272205124, 0.9785634818402128, 0.53377486774642]",1318.1292187513445,"[-0.0003321873874991832, -0.0001148673792695091, 0.00045847982827496025, 0.0001223549476065955, 0.00024582753247437417]","[-0.0003321873874991832, -0.0001148673792695091, 0.00045847982827496025, 0.0001223549476065955, 0.00024582753247437417]",0.00045847982827496025,True,False,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,3.999502951046452e-10
0.1,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-0.6695933147440158, 1.4391581448526267, -0.32793617344860465, 0.9785644873635158, 0.5337738292944618]",1318.1292187509453,"[-5.015993387536e-06, -1.0257397585281623e-05, -1.3389018604925695e-07, 7.2616133772740454e-06, 1.8812719636107644e-05]","[-5.015993387536e-06, -1.0257397585281623e-05, -1.3389018604925695e-07, 7.2616133772740454e-06, 1.8812719636107644e-05]",1.8812719636107644e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,6.821210263296962e-13
0.1,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-0.6695930162492872, 1.4391582282500301, -0.3279360017590207, 0.9785645908785686, 0.533773868835413]",1318.1292187509475,"[2.9391684874147117e-05, 9.656558759785244e-06, -2.8554829526683534e-05, -1.0610736402405507e-05, 4.109176717026486e-05]","[2.9391684874147117e-05, 9.656558759785244e-06, -2.8554829526683534e-05, -1.0610736402405507e-05, 4.109176717026486e-05]",4.109176717026486e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,2.9558577807620168e-12
