delta,status,objective,lr,in_evaluated_grid_set,policy_adoption,kkt_scaled_inf
0.0,accepted,1163.2176699382944,1.3310091034327343,True,0.7716340454355755,1.25193472791551e-07
0.1,accepted,1163.2176809143157,1.3310310554752505,True,0.771644114524239,1.2305735986827552e-07
0.2,accepted,1163.2166133256283,1.3288958781004112,True,0.7717304976456026,1.939167358414824e-06
0.3,accepted,1163.2122493510317,1.3201679289072672,True,0.7719722564698318,7.518030656968267e-07
0.4,accepted,1163.2024912907737,1.3006518083911942,True,0.7724273698114362,6.674154184649778e-07
0.5,accepted,1163.1855281669314,1.2667255607066181,True,0.7731528203143266,1.0087693484332207e-07
0.6,accepted,1163.1599845283645,1.2156382835728436,True,0.7741980424966652,2.401831618473742e-07
0.7,accepted,1163.1250840610658,1.1458373489754194,True,0.7756044317813846,1.8279050380830685e-06
0.8,accepted,1163.0807851565255,1.0572395398949084,True,0.7774052320394699,1.3630203062465048e-07
0.9,accepted,1163.0278622233282,0.9513936735002062,True,0.7796254846773156,2.3096089557355467e-06
1.0,accepted,1162.9679052630606,0.8314797529651514,True,0.7822812392426833,3.341568200873514e-06
1.1,accepted,1162.9032090522726,0.7020873313890661,True,0.785376426594997,2.1243519431983474e-06
1.2,accepted,1162.8365342754694,0.5687377777826441,True,0.7888956166869279,2.907798917346031e-06
1.3,accepted,1162.7707807923553,0.43723081155440013,True,0.792794902881328,1.2607596836415665e-06
1.4,accepted,1162.7087320925737,0.3131334119912026,True,0.7970035762491399,3.558133853065555e-06
1.5,accepted,1162.6530642423859,0.2017977116156544,True,0.8014452934162763,3.8462778334387767e-07
1.6,accepted,1162.6065853505775,0.10883992799881526,True,0.806060276987224,9.289280455096763e-11
1.7,accepted,1162.572450616097,0.040570459038008266,True,0.8108080857130837,2.387916467174808e-06
1.8,accepted,1162.5541949608473,0.004059148538544832,True,0.8156583253009692,4.954130726689369e-08
1.9,accepted,1162.5556102812134,0.006889789270644542,True,0.8205828108632058,6.848551556916848e-06
2.0,accepted,1162.580549020939,0.056767268722069275,True,0.8255526080424562,1.3238854725964612e-08
2.1,accepted,1162.6327144408451,0.16109810853413364,True,0.8305381669964644,3.9013840894445414e-09
2.2,accepted,1162.7154720456722,0.3266133181882651,True,0.8355105262177773,3.685727277576333e-10
2.3,accepted,1162.8317002063063,0.5590696394565384,True,0.8404426240472407,5.877503939100088e-06
2.4,accepted,1162.9836875426672,0.8630443121783173,True,0.8453102550897541,4.4121081261782477e-07
2.5,accepted,1163.0136195382447,0.9229083033333154,True,0.7890957210626932,1.561123584526629e-08
2.6,accepted,1163.0199290876549,0.9355274021536388,True,0.78934466317932,2.349897154192205e-09
2.7,accepted,1163.0255627648366,0.9467947565171926,True,0.7895517989818644,1.1367285548118554e-07
2.8,accepted,1163.0499719135357,0.9956130539153492,True,0.7911905832119553,4.072915411793964e-09
2.9,accepted,1163.1893034313002,1.2742760894443563,True,0.7971034470298436,3.028262689844043e-08
3.0,accepted,1163.4308832821162,1.7574357910762046,True,0.8029484956860677,8.66193053571357e-07
3.1,accepted,1163.7765431118428,2.448755450529461,True,0.8087094632797482,2.0847540232083178e-08
3.2,accepted,1164.2254282078875,3.3465256426188716,True,0.8143752103987021,1.3583820240653972e-08
3.3,accepted,1164.7743369076334,4.444343042110631,False,0.8199380010686372,1.2295989462354989e-08
3.4,accepted,1165.4181589382574,5.731987103358733,False,0.8253921172204397,2.772252328413304e-08
3.5,accepted,1166.1503487328291,7.196366692502124,False,0.8307328553587019,2.4443754842256824e-08
3.6,accepted,1166.963384524924,8.822438276692083,False,0.8359559214540783,2.760177131787434e-08
3.7,accepted,1167.849180730933,10.594030688710063,False,0.8410571608515356,2.5710478789306888e-12
3.8,accepted,1168.7994360667608,12.494541360365474,False,0.846032511426416,6.752638745958863e-12
3.9,accepted,1169.8059114183711,14.507492063586142,False,0.8508780982474937,4.351623371465389e-07
4.0,accepted,1170.8606394718688,16.61694817058151,False,0.8555903926196976,1.7853641884991743e-08
4.1,accepted,1171.9560729702403,18.807815167324407,False,0.8601663648055079,7.622695639991431e-08
4.2,accepted,1173.0851808966743,21.06603102019244,False,0.8646036354571106,1.056132043166498e-08
4.3,accepted,1174.2415025862183,23.3786743992805,False,0.868900557731115,1.3850075888551082e-07
4.4,accepted,1175.4191693403332,25.734007907510204,False,0.8730562725583007,3.3307614402050176e-08
4.5,accepted,1176.612902040265,28.12147330737389,False,0.8770707076296911,6.39961509632235e-07
4.6,accepted,1177.817991879539,30.531652985921937,False,0.8809445434633302,3.8150120670140194e-08
4.7,accepted,1179.0302699083022,32.956209043448325,False,0.8846791498485003,2.2026903113306756e-07
4.8,accepted,1180.2460697563229,35.38780873948963,False,0.888276508975919,5.778609270263621e-07
4.9,accepted,1181.4621867594133,37.820042745670435,False,0.8917391198174509,2.120826898537368e-06
5.0,accepted,1182.6758357860474,40.247340798938694,False,0.8950699115434916,1.043905483715122e-06
