agent,period,policy,state,action,next_state
0,0,0.0,1,0,1
0,1,0.0,1,0,2
0,2,0.0,2,0,3
0,3,0.0,3,1,0
0,4,0.0,0,0,0
0,5,0.0,0,0,0
0,6,0.0,0,0,1
0,7,0.0,1,0,2
0,8,0.0,2,0,3
0,9,0.0,3,0,4
0,10,0.0,4,1,0
0,11,0.0,0,0,1
0,12,0.0,1,0,1
0,13,0.0,1,0,2
0,14,0.0,2,1,1
0,15,0.0,1,0,2
0,16,0.0,2,1,0
0,17,0.0,0,1,0
0,18,0.0,0,0,1
0,19,0.0,1,1,0
0,20,0.0,0,0,1
0,21,0.0,1,0,2
0,22,0.0,2,0,3
0,23,0.0,3,1,1
0,24,0.0,1,0,1
0,25,0.0,1,0,2
0,26,0.0,2,1,0
0,27,0.0,0,0,0
0,28,0.0,0,0,0
0,29,0.0,0,1,0
1,0,1.0,3,0,4
1,1,1.0,4,0,4
1,2,1.0,4,0,4
1,3,1.0,4,0,4
1,4,1.0,4,1,0
1,5,1.0,0,1,0
1,6,1.0,0,0,1
1,7,1.0,1,0,2
1,8,1.0,2,0,3
1,9,1.0,3,1,0
1,10,1.0,0,1,0
1,11,1.0,0,0,1
1,12,1.0,1,1,0
1,13,1.0,0,0,1
1,14,1.0,1,0,2
1,15,1.0,2,1,0
1,16,1.0,0,0,1
1,17,1.0,1,1,0
1,18,1.0,0,0,1
1,19,1.0,1,1,0
1,20,1.0,0,0,1
1,21,1.0,1,0,2
1,22,1.0,2,0,3
1,23,1.0,3,1,0
1,24,1.0,0,1,0
1,25,1.0,0,0,1
1,26,1.0,1,0,2
1,27,1.0,2,0,3
1,28,1.0,3,0,3
1,29,1.0,3,1,0
2,0,0.0,3,1,0
2,1,0.0,0,0,1
2,2,0.0,1,1,0
2,3,0.0,0,0,0
2,4,0.0,0,0,0
2,5,0.0,0,1,0
2,6,0.0,0,0,0
2,7,0.0,0,0,1
2,8,0.0,1,0,1
2,9,0.0,1,1,1
2,10,0.0,1,0,2
2,11,0.0,2,1,0
2,12,0.0,0,0,1
2,13,0.0,1,0,2
2,14,0.0,2,0,2
2,15,0.0,2,0,2
2,16,0.0,2,0,3
2,17,0.0,3,1,0
2,18,0.0,0,0,0
2,19,0.0,0,0,1
2,20,0.0,1,0,1
2,21,0.0,1,0,2
2,22,0.0,2,0,3
2,23,0.0,3,1,0
2,24,0.0,0,0,1
2,25,0.0,1,0,2
2,26,0.0,2,0,3
2,27,0.0,3,0,4
2,28,0.0,4,1,0
2,29,0.0,0,0,1
3,0,1.0,0,0,1
3,1,1.0,1,1,0
3,2,1.0,0,1,0
3,3,1.0,0,0,0
3,4,1.0,0,1,0
3,5,1.0,0,1,0
3,6,1.0,0,0,0
3,7,1.0,0,0,1
3,8,1.0,1,0,1
3,9,1.0,1,1,0
3,10,1.0,0,0,1
3,11,1.0,1,1,0
3,12,1.0,0,1,0
3,13,1.0,0,0,0
3,14,1.0,0,0,1
3,15,1.0,1,0,2
3,16,1.0,2,0,2
3,17,1.0,2,1,0
3,18,1.0,0,0,1
3,19,1.0,1,1,0
3,20,1.0,0,0,1
3,21,1.0,1,1,0
3,22,1.0,0,1,0
3,23,1.0,0,0,1
3,24,1.0,1,0,2
3,25,1.0,2,1,0
3,26,1.0,0,0,1
3,27,1.0,1,1,0
3,28,1.0,0,0,1
3,29,1.0,1,1,1
4,0,0.0,4,0,4
4,1,0.0,4,1,0
4,2,0.0,0,0,1
4,3,0.0,1,0,2
4,4,0.0,2,1,1
4,5,0.0,1,0,2
4,6,0.0,2,0,2
4,7,0.0,2,1,0
4,8,0.0,0,0,1
4,9,0.0,1,0,2
4,10,0.0,2,0,3
4,11,0.0,3,1,1
4,12,0.0,1,0,2
4,13,0.0,2,0,3
4,14,0.0,3,0,3
4,15,0.0,3,1,0
4,16,0.0,0,0,1
4,17,0.0,1,0,1
4,18,0.0,1,0,2
4,19,0.0,2,0,3
4,20,0.0,3,0,4
4,21,0.0,4,0,4
4,22,0.0,4,1,0
4,23,0.0,0,0,0
4,24,0.0,0,0,0
4,25,0.0,0,0,0
4,26,0.0,0,0,1
4,27,0.0,1,1,0
4,28,0.0,0,0,1
4,29,0.0,1,0,2
5,0,1.0,0,1,0
5,1,1.0,0,1,0
5,2,1.0,0,0,1
5,3,1.0,1,0,1
5,4,1.0,1,0,2
5,5,1.0,2,1,0
5,6,1.0,0,0,1
5,7,1.0,1,0,2
5,8,1.0,2,1,0
5,9,1.0,0,0,1
5,10,1.0,1,0,2
5,11,1.0,2,1,1
5,12,1.0,1,1,0
5,13,1.0,0,0,1
5,14,1.0,1,1,0
5,15,1.0,0,1,1
5,16,1.0,1,0,2
5,17,1.0,2,1,0
5,18,1.0,0,0,1
5,19,1.0,1,0,2
5,20,1.0,2,1,0
5,21,1.0,0,1,0
5,22,1.0,0,0,1
5,23,1.0,1,1,0
5,24,1.0,0,0,1
5,25,1.0,1,0,1
5,26,1.0,1,0,2
5,27,1.0,2,1,0
5,28,1.0,0,0,0
5,29,1.0,0,0,1
6,0,0.0,1,0,2
6,1,0.0,2,0,3
6,2,0.0,3,0,4
6,3,0.0,4,1,0
6,4,0.0,0,0,0
6,5,0.0,0,0,0
6,6,0.0,0,1,0
6,7,0.0,0,0,1
6,8,0.0,1,0,2
6,9,0.0,2,1,0
6,10,0.0,0,0,1
6,11,0.0,1,0,1
6,12,0.0,1,0,1
6,13,0.0,1,0,2
6,14,0.0,2,0,3
6,15,0.0,3,0,4
6,16,0.0,4,1,1
6,17,0.0,1,0,2
6,18,0.0,2,0,3
6,19,0.0,3,0,3
6,20,0.0,3,1,0
6,21,0.0,0,0,1
6,22,0.0,1,1,0
6,23,0.0,0,0,0
6,24,0.0,0,0,1
6,25,0.0,1,0,2
6,26,0.0,2,0,2
6,27,0.0,2,1,0
6,28,0.0,0,0,1
6,29,0.0,1,0,2
7,0,1.0,2,0,3
7,1,1.0,3,1,0
7,2,1.0,0,0,1
7,3,1.0,1,1,0
7,4,1.0,0,0,1
7,5,1.0,1,0,2
7,6,1.0,2,0,2
7,7,1.0,2,1,0
7,8,1.0,0,0,1
7,9,1.0,1,0,2
7,10,1.0,2,1,0
7,11,1.0,0,0,1
7,12,1.0,1,1,0
7,13,1.0,0,0,1
7,14,1.0,1,0,2
7,15,1.0,2,1,0
7,16,1.0,0,1,0
7,17,1.0,0,0,1
7,18,1.0,1,1,0
7,19,1.0,0,0,0
7,20,1.0,0,0,1
7,21,1.0,1,0,2
7,22,1.0,2,0,2
7,23,1.0,2,1,0
7,24,1.0,0,0,1
7,25,1.0,1,1,1
7,26,1.0,1,0,1
7,27,1.0,1,1,0
7,28,1.0,0,0,1
7,29,1.0,1,0,2
8,0,0.0,0,0,1
8,1,0.0,1,0,2
8,2,0.0,2,1,1
8,3,0.0,1,0,1
8,4,0.0,1,0,2
8,5,0.0,2,0,3
8,6,0.0,3,1,0
8,7,0.0,0,0,1
8,8,0.0,1,0,2
8,9,0.0,2,0,3
8,10,0.0,3,1,0
8,11,0.0,0,0,1
8,12,0.0,1,1,1
8,13,0.0,1,0,2
8,14,0.0,2,0,3
8,15,0.0,3,1,1
8,16,0.0,1,0,2
8,17,0.0,2,1,0
8,18,0.0,0,0,1
8,19,0.0,1,0,2
8,20,0.0,2,1,0
8,21,0.0,0,0,1
8,22,0.0,1,0,1
8,23,0.0,1,0,2
8,24,0.0,2,0,3
8,25,0.0,3,1,1
8,26,0.0,1,0,2
8,27,0.0,2,0,3
8,28,0.0,3,1,0
8,29,0.0,0,0,1
9,0,1.0,2,0,3
9,1,1.0,3,1,0
9,2,1.0,0,1,0
9,3,1.0,0,1,0
9,4,1.0,0,0,1
9,5,1.0,1,0,2
9,6,1.0,2,1,1
9,7,1.0,1,0,1
9,8,1.0,1,1,0
9,9,1.0,0,0,1
9,10,1.0,1,0,2
9,11,1.0,2,1,0
9,12,1.0,0,0,1
9,13,1.0,1,0,2
9,14,1.0,2,0,3
9,15,1.0,3,1,0
9,16,1.0,0,0,1
9,17,1.0,1,0,2
9,18,1.0,2,0,3
9,19,1.0,3,1,0
9,20,1.0,0,0,1
9,21,1.0,1,1,0
9,22,1.0,0,0,0
9,23,1.0,0,1,0
9,24,1.0,0,0,1
9,25,1.0,1,0,2
9,26,1.0,2,1,0
9,27,1.0,0,0,1
9,28,1.0,1,1,0
9,29,1.0,0,0,1
10,0,0.0,0,0,1
10,1,0.0,1,0,2
10,2,0.0,2,0,3
10,3,0.0,3,0,4
10,4,0.0,4,1,0
10,5,0.0,0,0,0
10,6,0.0,0,0,1
10,7,0.0,1,0,2
10,8,0.0,2,0,3
10,9,0.0,3,0,4
10,10,0.0,4,1,0
10,11,0.0,0,0,1
10,12,0.0,1,0,2
10,13,0.0,2,0,3
10,14,0.0,3,0,4
10,15,0.0,4,1,0
10,16,0.0,0,0,1
10,17,0.0,1,0,2
10,18,0.0,2,1,0
10,19,0.0,0,1,0
10,20,0.0,0,0,1
10,21,0.0,1,0,2
10,22,0.0,2,1,0
10,23,0.0,0,0,0
10,24,0.0,0,0,1
10,25,0.0,1,0,2
10,26,0.0,2,1,0
10,27,0.0,0,0,1
10,28,0.0,1,0,2
10,29,0.0,2,0,3
11,0,1.0,0,0,1
11,1,1.0,1,0,1
11,2,1.0,1,0,2
11,3,1.0,2,0,3
11,4,1.0,3,1,0
11,5,1.0,0,1,0
11,6,1.0,0,0,1
11,7,1.0,1,0,1
11,8,1.0,1,0,2
11,9,1.0,2,0,2
11,10,1.0,2,1,0
11,11,1.0,0,0,1
11,12,1.0,1,0,2
11,13,1.0,2,0,3
11,14,1.0,3,1,0
11,15,1.0,0,0,0
11,16,1.0,0,0,1
11,17,1.0,1,1,0
11,18,1.0,0,0,1
11,19,1.0,1,0,2
11,20,1.0,2,1,0
11,21,1.0,0,0,1
11,22,1.0,1,1,0
11,23,1.0,0,0,1
11,24,1.0,1,0,2
11,25,1.0,2,0,3
11,26,1.0,3,1,0
11,27,1.0,0,0,1
11,28,1.0,1,0,2
11,29,1.0,2,1,0
12,0,0.0,2,1,0
12,1,0.0,0,0,0
12,2,0.0,0,0,0
12,3,0.0,0,0,0
12,4,0.0,0,0,1
12,5,0.0,1,0,2
12,6,0.0,2,0,3
12,7,0.0,3,0,4
12,8,0.0,4,1,0
12,9,0.0,0,0,1
12,10,0.0,1,0,2
12,11,0.0,2,0,3
12,12,0.0,3,1,1
12,13,0.0,1,1,0
12,14,0.0,0,0,1
12,15,0.0,1,1,0
12,16,0.0,0,0,0
12,17,0.0,0,0,1
12,18,0.0,1,0,2
12,19,0.0,2,1,0
12,20,0.0,0,0,1
12,21,0.0,1,1,0
12,22,0.0,0,0,1
12,23,0.0,1,0,2
12,24,0.0,2,0,3
12,25,0.0,3,0,3
12,26,0.0,3,1,0
12,27,0.0,0,0,1
12,28,0.0,1,0,2
12,29,0.0,2,1,0
13,0,1.0,0,0,1
13,1,1.0,1,0,2
13,2,1.0,2,1,0
13,3,1.0,0,0,1
13,4,1.0,1,0,1
13,5,1.0,1,0,1
13,6,1.0,1,0,2
13,7,1.0,2,1,0
13,8,1.0,0,0,0
13,9,1.0,0,0,0
13,10,1.0,0,0,1
13,11,1.0,1,0,2
13,12,1.0,2,1,0
13,13,1.0,0,0,1
13,14,1.0,1,0,1
13,15,1.0,1,0,1
13,16,1.0,1,0,2
13,17,1.0,2,1,0
13,18,1.0,0,0,1
13,19,1.0,1,0,2
13,20,1.0,2,1,0
13,21,1.0,0,0,0
13,22,1.0,0,0,0
13,23,1.0,0,0,1
13,24,1.0,1,0,2
13,25,1.0,2,1,0
13,26,1.0,0,0,0
13,27,1.0,0,0,1
13,28,1.0,1,0,1
13,29,1.0,1,1,0
14,0,0.0,2,0,3
14,1,0.0,3,1,0
14,2,0.0,0,0,0
14,3,0.0,0,0,1
14,4,0.0,1,0,1
14,5,0.0,1,0,2
14,6,0.0,2,0,3
14,7,0.0,3,1,0
14,8,0.0,0,0,1
14,9,0.0,1,1,0
14,10,0.0,0,0,0
14,11,0.0,0,0,1
14,12,0.0,1,0,2
14,13,0.0,2,0,2
14,14,0.0,2,1,0
14,15,0.0,0,0,1
14,16,0.0,1,0,1
14,17,0.0,1,1,0
14,18,0.0,0,0,1
14,19,0.0,1,1,0
14,20,0.0,0,0,1
14,21,0.0,1,0,1
14,22,0.0,1,0,2
14,23,0.0,2,0,2
14,24,0.0,2,0,3
14,25,0.0,3,1,1
14,26,0.0,1,0,2
14,27,0.0,2,1,0
14,28,0.0,0,1,0
14,29,0.0,0,0,1
15,0,1.0,4,1,0
15,1,1.0,0,0,0
15,2,1.0,0,1,0
15,3,1.0,0,0,1
15,4,1.0,1,1,0
15,5,1.0,0,1,0
15,6,1.0,0,0,1
15,7,1.0,1,1,0
15,8,1.0,0,0,1
15,9,1.0,1,1,0
15,10,1.0,0,1,0
15,11,1.0,0,0,1
15,12,1.0,1,0,2
15,13,1.0,2,0,3
15,14,1.0,3,1,0
15,15,1.0,0,0,1
15,16,1.0,1,0,2
15,17,1.0,2,1,0
15,18,1.0,0,0,1
15,19,1.0,1,1,0
15,20,1.0,0,0,1
15,21,1.0,1,1,0
15,22,1.0,0,0,1
15,23,1.0,1,0,2
15,24,1.0,2,1,0
15,25,1.0,0,0,0
15,26,1.0,0,0,0
15,27,1.0,0,0,1
15,28,1.0,1,0,2
15,29,1.0,2,1,0
16,0,0.0,2,0,3
16,1,0.0,3,0,4
16,2,0.0,4,1,0
16,3,0.0,0,1,0
16,4,0.0,0,0,0
16,5,0.0,0,0,0
16,6,0.0,0,0,1
16,7,0.0,1,1,0
16,8,0.0,0,0,1
16,9,0.0,1,0,1
16,10,0.0,1,0,2
16,11,0.0,2,1,0
16,12,0.0,0,0,1
16,13,0.0,1,1,1
16,14,0.0,1,0,2
16,15,0.0,2,0,3
16,16,0.0,3,0,4
16,17,0.0,4,1,0
16,18,0.0,0,0,0
16,19,0.0,0,0,1
16,20,0.0,1,1,0
16,21,0.0,0,0,1
16,22,0.0,1,0,2
16,23,0.0,2,1,0
16,24,0.0,0,0,1
16,25,0.0,1,0,2
16,26,0.0,2,1,0
16,27,0.0,0,0,1
16,28,0.0,1,1,0
16,29,0.0,0,0,1
17,0,1.0,4,1,0
17,1,1.0,0,0,0
17,2,1.0,0,0,1
17,3,1.0,1,1,0
17,4,1.0,0,0,1
17,5,1.0,1,1,0
17,6,1.0,0,0,1
17,7,1.0,1,1,0
17,8,1.0,0,0,1
17,9,1.0,1,0,2
17,10,1.0,2,0,3
17,11,1.0,3,1,1
17,12,1.0,1,0,2
