rep,estimator,model,objective_recomputed,objective_saved,objective_abs_diff,selected_minus_min_accepted
n600_s104,mle,mixture,342.1591294878151,342.1591294878151,0.0,0.0
n600_s104,mle,single,342.39144520381933,342.39144520381933,0.0,0.0
n600_s104,smm,mixture,0.010086196719452718,0.0100861967194527,1.9081958235744878e-17,0.0
n600_s104,smm,single,0.011650118687253198,0.0116501186872531,9.8879238130678e-17,0.0
n600_s211,mle,mixture,331.83361709868336,331.83361709868336,0.0,0.0
n600_s211,mle,single,332.3421523104057,332.3421523104057,0.0,0.0
n600_s211,smm,mixture,0.051689216426527684,0.0516892164265276,8.326672684688674e-17,0.0
n600_s211,smm,single,0.06749395162416287,0.0674939516241628,6.938893903907228e-17,0.0
n600_s307,mle,mixture,330.3816758231893,330.3816758231893,0.0,0.0
n600_s307,mle,single,330.46308464114503,330.46308464114503,0.0,0.0
n600_s307,smm,mixture,0.1216450338425809,0.1216450338425808,9.71445146547012e-17,0.0
n600_s307,smm,single,0.13056163164340007,0.1305616316434,5.551115123125783e-17,0.0
n600_s419,mle,mixture,336.1219681291708,336.1219681291708,0.0,0.0
n600_s419,mle,single,336.1931148229788,336.1931148229788,0.0,0.0
n600_s419,smm,mixture,0.0072751952834375225,0.0072751952834375,2.2551405187698492e-17,0.0
n600_s419,smm,single,0.00816403591437139,0.0081640359143713,9.020562075079397e-17,0.0
n600_s523,mle,mixture,312.8227211657437,312.8227211657437,0.0,0.0
n600_s523,mle,single,313.14832666074835,313.14832666074835,0.0,0.0
n600_s523,smm,mixture,0.018537001313263086,0.018537001313263,8.673617379884035e-17,0.0
n600_s523,smm,single,0.03971926561067448,0.0397192656106744,8.326672684688674e-17,0.0
n600_s631,mle,mixture,339.60435064024716,339.6043506402472,5.684341886080802e-14,0.0
n600_s631,mle,single,340.1228820315284,340.1228820315284,0.0,0.0
n600_s631,smm,mixture,0.10530433865264252,0.1053043386526425,1.3877787807814457e-17,0.0
n600_s631,smm,single,0.11075170709840729,0.1107517070984072,8.326672684688674e-17,0.0
n3000_s104,mle,mixture,1651.317210366033,1651.3172103660331,2.2737367544323206e-13,0.0
n3000_s104,mle,single,1651.5268458738988,1651.5268458738988,0.0,0.0
n3000_s104,smm,mixture,0.049507986417570295,0.0495079864175702,9.71445146547012e-17,0.0
n3000_s104,smm,single,0.0558914591191422,0.0558914591191422,0.0,0.0
n3000_s211,mle,mixture,1678.1368415215534,1678.1368415215534,0.0,0.0
n3000_s211,mle,single,1679.5510977046702,1679.5510977046702,0.0,0.0
n3000_s211,smm,mixture,0.06757309632843587,0.0675730963284358,6.938893903907228e-17,0.0
n3000_s211,smm,single,0.08180768201428436,0.0818076820142843,5.551115123125783e-17,0.0
n3000_s307,mle,mixture,1659.9224669924238,1659.922466992424,2.2737367544323206e-13,0.0
n3000_s307,mle,single,1660.2680347852033,1660.268034785203,2.2737367544323206e-13,0.0
n3000_s307,smm,mixture,0.019608866099501396,0.0196088660995014,3.469446951953614e-18,0.0
n3000_s307,smm,single,0.02483772939850041,0.0248377293985004,1.0408340855860843e-17,0.0
n3000_s419,mle,mixture,1718.0570941277583,1718.057094127758,2.2737367544323206e-13,0.0
n3000_s419,mle,single,1720.02798525146,1720.02798525146,0.0,0.0
n3000_s419,smm,mixture,0.07459800277336173,0.0745980027733616,1.3877787807814457e-16,0.0
n3000_s419,smm,single,0.1292158020863174,0.1292158020863174,0.0,0.0
n3000_s523,mle,mixture,1697.3480832698178,1697.3480832698178,0.0,0.0
n3000_s523,mle,single,1698.0253206275179,1698.025320627518,2.2737367544323206e-13,0.0
n3000_s523,smm,mixture,0.11255340807562751,0.1125534080756274,1.1102230246251565e-16,0.0
n3000_s523,smm,single,0.14083004818062453,0.1408300481806245,2.7755575615628914e-17,0.0
n3000_s631,mle,mixture,1681.136761889216,1681.136761889216,0.0,0.0
n3000_s631,mle,single,1682.3161606764556,1682.3161606764556,0.0,0.0
n3000_s631,smm,mixture,0.081797816981186,0.081797816981186,0.0,0.0
n3000_s631,smm,single,0.09223051352428176,0.0922305135242817,5.551115123125783e-17,0.0
