estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective
normal_random_coefficient_msl,0,"[0.6899373721591942, 0.34116597377800256, -0.4452481407573672, 0.38014980346421334, -0.8793700808379343, -0.11349615860724249]","[0.6591012691792213, 0.30963748962221527, -0.770893211766827, 0.4306872132017777, -0.5590133695168109, -0.6566884620057751]",1739.851639115224,"[0.00020463630687066067, -0.0003865352484569496, 0.0005229594508916884, 0.0003865352484569496, -6.821210229022023e-05, 2.2737367430073406e-05]","[0.00020463630687066067, -0.0003865352484569496, 0.0005229594508916884, 0.0003865352484569496, -6.821210229022023e-05, 2.2737367430073406e-05]",0.0005229594508916884,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3360477169044316e-09
normal_random_coefficient_msl,1,"[0.9825607383919241, 0.23743858928378075, -0.9750223997817086, 0.4936243503914189, -0.5063942667126569, -0.5100797201688839]","[0.6590993567403443, 0.3096406450454383, -0.770894139448943, 0.4306865171598903, -0.5590131448096968, -0.6566919837007335]",1739.851639113888,"[0.0, 2.273736755629115e-05, 2.2737367430073406e-05, 2.273736755629115e-05, -2.2737367430073406e-05, 0.0]","[0.0, 2.273736755629115e-05, 2.2737367430073406e-05, 2.273736755629115e-05, -2.2737367430073406e-05, 0.0]",2.273736755629115e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0
normal_random_coefficient_msl,2,"[0.366065483183688, 0.6912220500483979, -0.6305962265263426, 0.4075437380002485, -0.4185831975940145, -0.5716655548139202]","[0.6591046658765227, 0.30963952544932755, -0.770893805391605, 0.4306853724490508, -0.5590134036525812, -0.6566900589191059]",1739.8516391156818,"[0.0006821210229022022, -0.0003637978809006584, -0.0006821210229022022, -0.00013642420533774692, 0.002387423580157708, 4.547473486014681e-05]","[0.0006821210229022022, -0.0003637978809006584, -0.0006821210229022022, -0.00013642420533774692, 0.002387423580157708, 4.547473486014681e-05]",0.002387423580157708,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7937509255716577e-09
normal_random_coefficient_msl,3,"[0.12677746362478848, 0.7058198647208314, -1.0728581395280086, 0.5919386022388998, -0.6929475034698551, -0.11637675014140936]","[0.6590997249413769, 0.3096403301160596, -0.7708941739825379, 0.43068614508986997, -0.5590131564738052, -0.6566919406240757]",1739.8516391139333,"[9.094946972029363e-05, -0.00011368683778145576, -0.00013642420458044046, -9.09494702251646e-05, -4.547473486014681e-05, -4.547473486014681e-05]","[9.094946972029363e-05, -0.00011368683778145576, -0.00013642420458044046, -9.09494702251646e-05, -4.547473486014681e-05, -4.547473486014681e-05]",0.00013642420458044046,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.524736141320318e-11
normal_random_coefficient_msl,4,"[0.31460930921143854, -0.02036039891143021, -0.6166929335332935, 0.45249483368571136, -0.256449136687815, -0.7619225453714267]","[0.6590969961677366, 0.30963848753527257, -0.7708934723074105, 0.43068571980840004, -0.5590128738088055, -0.6566879062799986]",1739.8516391146816,"[-0.00020463630687066067, 0.00025011104311920267, 0.0005229594508916884, -6.821210266887346e-05, -0.0007048583903322757, 0.0003637978788811745]","[-0.00020463630687066067, 0.00025011104311920267, 0.0005229594508916884, -6.821210266887346e-05, -0.0007048583903322757, 0.0003637978788811745]",0.0007048583903322757,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.935341272968799e-10
normal_random_coefficient_msl,5,"[0.33529560957856824, 0.2885742309748747, -0.9401205469368928, 0.5678714985761633, -0.786271795395976, -0.7548710158465293]","[0.6590991298787209, 0.3096404970303362, -0.7708922773548209, 0.43068563282436534, -0.559012746421104, -0.656694665347092]",1739.8516391153596,"[-0.00011368683715036704, -0.00029558577823178496, 0.001227817841223964, -6.821210266887346e-05, -0.0012050804737938907, -0.00040927261374132135]","[-0.00011368683715036704, -0.00029558577823178496, 0.001227817841223964, -6.821210266887346e-05, -0.0012050804737938907, -0.00040927261374132135]",0.001227817841223964,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4715624274685979e-09
normal_random_coefficient_msl,6,"[0.11473814796226622, 0.4545626992078626, -0.8319185820216815, 0.2424562823568488, -0.39419573032649957, -0.3870897980930998]","[0.6590983994900731, 0.3096401862476211, -0.7708942607898187, 0.430686347207804, -0.5590129614480864, -0.6566914874749329]",1739.85163911389,"[6.821210229022023e-05, 9.09494702251646e-05, -0.00013642420458044046, 4.54747351125823e-05, 0.0003637978788811745, 9.094946972029363e-05]","[6.821210229022023e-05, 9.09494702251646e-05, -0.00013642420458044046, 4.54747351125823e-05, 0.0003637978788811745, 9.094946972029363e-05]",0.0003637978788811745,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0463630789890885e-12
normal_random_coefficient_msl,7,"[0.6813965592455278, 0.3196637121311568, -1.1159354870986316, 0.6450973378243379, -0.5185706517002606, -0.740816821532745]","[0.6590992828895265, 0.3096408885674319, -0.7708936590257953, 0.4306852633318633, -0.55901273426954, -0.6566920692146824]",1739.851639114208,"[0.00018189893944058725, 0.0001818989404503292, -9.094946972029363e-05, -0.00015916157289403807, 0.0013642420458044044, 9.094946972029363e-05]","[0.00018189893944058725, 0.0001818989404503292, -9.094946972029363e-05, -0.00015916157289403807, 0.0013642420458044044, 9.094946972029363e-05]",0.0013642420458044044,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.199147613486275e-10
homogeneous_logit,0,"[0.6899373721591942, 0.34116597377800256, -0.4452481407573672, -0.8793700808379343, -0.11349615860724249]","[0.6448339186268092, 0.2856395216495886, -0.7113234012950309, -0.5266528861902905, -0.620202192633961]",1749.2842922109426,"[0.00020463630687066067, 2.273736755629115e-05, -0.0002955857765909543, 0.0010686562692134502, 2.2737367430073406e-05]","[0.00020463630687066067, 2.273736755629115e-05, -0.0002955857765909543, 0.0010686562692134502, 2.2737367430073406e-05]",0.0010686562692134502,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.458300726488233e-11
homogeneous_logit,1,"[0.9825607383919241, 0.23743858928378075, -0.9750223997817086, -0.5063942667126569, -0.5100797201688839]","[0.6448346710520326, 0.2856401274254055, -0.7113232732108902, -0.5266530301923362, -0.620202114091464]",1749.2842922109362,"[0.00013642420458044046, 0.00015916157289403807, -9.094946972029363e-05, 0.0008640199623427895, 9.094946972029363e-05]","[0.00013642420458044046, 0.00015916157289403807, -9.094946972029363e-05, 0.0008640199623427895, 9.094946972029363e-05]",0.0008640199623427895,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.821654435247183e-11
