estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective,sigma_index,accepted
profile_sigma_0.00,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6448344081376878, 0.2856391768233214, -0.7113231975470723, -0.5266531013881546, -0.6202010145121907]",1749.2842922109,"[4.547473486014681e-05, 2.273736755629115e-05, 6.821210229022023e-05, 9.094946972029363e-05, 6.821210229022023e-05]","[4.547473486014681e-05, 2.273736755629115e-05, 6.821210229022023e-05, 9.094946972029363e-05, 6.821210229022023e-05]",9.094946972029363e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.297362465877086e-11,0.0,True
profile_sigma_0.00,1,"[0.7725779998128337, 0.4459378273202874, -0.775696678446953, -0.4003302309247749, -0.6307029784322301]","[0.6448337179643832, 0.28563932072988535, -0.711323272584839, -0.5266529895641257, -0.6202017058568837]",1749.284292210857,"[0.0, 2.273736755629115e-05, 4.547473486014681e-05, 4.547473486014681e-05, 0.0]","[0.0, 2.273736755629115e-05, 4.547473486014681e-05, 4.547473486014681e-05, 0.0]",4.547473486014681e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.0,True
profile_sigma_0.00,2,"[0.8930054832128372, 0.12427563866915162, -0.7113676196310209, -0.4598034450300291, -0.727646444410554]","[0.6448349435228835, 0.28563968618459296, -0.7113232217986789, -0.526653120936221, -0.6202019376669391]",1749.2842922108946,"[0.00011368683715036704, -2.273736755629115e-05, -2.2737367430073406e-05, 0.0003183231440210277, 0.0]","[0.00011368683715036704, -2.273736755629115e-05, -2.2737367430073406e-05, 0.0003183231440210277, 0.0]",0.0003183231440210277,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.751665644813329e-11,0.0,True
profile_sigma_0.00,3,"[0.8605284300075249, 0.2389465848139734, -0.4968484624126981, -0.6765966900404461, -0.5959675742821615]","[0.6448345399557499, 0.2856387811487164, -0.7113235976742801, -0.5266530770803738, -0.620201690159768]",1749.2842922110722,"[0.00022737367430073407, -0.00027284841067549384, -0.0005002220834616149, 0.0005684341857518352, -0.00011368683715036704]","[0.00022737367430073407, -0.00027284841067549384, -0.0005002220834616149, 0.0005684341857518352, -0.00011368683715036704]",0.0005684341857518352,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1509549696929753e-10,0.0,True
profile_sigma_0.00,4,"[0.9533550430574682, 0.27240206553083485, -0.6826503675031513, -0.6028212898604086, -0.8039201218963219]","[0.6448402471975663, 0.285641646962332, -0.7113232121550275, -0.5266544731361907, -0.6202012905185746]",1749.284292212364,"[-0.0002728484091608809, 2.273736755629115e-05, 0.0006366462880420554, -0.0030922819704899836, 0.0]","[-0.0002728484091608809, 2.273736755629115e-05, 0.0006366462880420554, -0.0030922819704899836, 0.0]",0.0030922819704899836,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.507032720837742e-09,0.0,False
profile_sigma_0.00,5,"[0.29892030330240954, 0.6166776419303884, -0.5658933632998713, -0.4817117817464627, -0.297371494802012]","[0.6448329138785286, 0.2856392114715116, -0.7113234650724347, -0.5266529319346659, -0.6202017719529179]",1749.2842922108775,"[-4.547473486014681e-05, 2.273736755629115e-05, -6.821210229022023e-05, -0.00015916157201051386, 0.0]","[-4.547473486014681e-05, 2.273736755629115e-05, -6.821210229022023e-05, -0.00015916157201051386, 0.0]",0.00015916157201051386,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0463630789890885e-11,0.0,True
profile_sigma_0.10,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6449108365978351, 0.2869334765909877, -0.7144085366128089, -0.5283822895425134, -0.6223502088771906]",1748.0787319591234,"[-6.821210229022023e-05, 6.821210266887346e-05, -2.2737367430073406e-05, -0.0005002220834616149, 2.2737367430073406e-05]","[-6.821210229022023e-05, 6.821210266887346e-05, -2.2737367430073406e-05, -0.0005002220834616149, 2.2737367430073406e-05]",0.0005002220834616149,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.685230229981244e-11,0.1,True
profile_sigma_0.10,1,"[0.5145854502385807, 0.13052898476307995, -1.1016937402627072, -0.3240831452712967, -0.4042535868007414]","[0.6449116858744722, 0.2869343213164352, -0.7144083154453857, -0.5283823489515881, -0.6223510729655544]",1748.078731959204,"[-4.547473486014681e-05, 0.00011368683778145576, 0.00018189893944058725, -0.00045474734860146814, 0.0]","[-4.547473486014681e-05, 0.00011368683778145576, 0.00018189893944058725, -0.00045474734860146814, 0.0]",0.00045474734860146814,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5756995708215982e-10,0.1,True
profile_sigma_0.10,2,"[0.6975858831745249, 0.09282441690655738, -0.9010542103260522, -0.6276436527410307, -0.7672822261230131]","[0.6449108537286131, 0.28693297001141593, -0.7144080334517082, -0.528381978214845, -0.6223502382475106]",1748.0787319591714,"[0.00013642420458044046, 0.0, 9.094946972029363e-05, 0.0008640199623427895, 2.2737367430073406e-05]","[0.00013642420458044046, 0.0, 9.094946972029363e-05, 0.0008640199623427895, 2.2737367430073406e-05]",0.0008640199623427895,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.248281478183344e-10,0.1,True
profile_sigma_0.10,3,"[0.2990155506438283, 0.2657709168391459, -0.7787888897040267, -0.6909471911573662, -0.48323795639996836]","[0.6449094981000423, 0.28693264463116136, -0.7144082818972162, -0.5283819424104645, -0.6223500786166627]",1748.0787319590465,"[-2.2737367430073406e-05, 0.0, 9.094946972029363e-05, 2.2737367430073406e-05, 0.0]","[-2.2737367430073406e-05, 0.0, 9.094946972029363e-05, 2.2737367430073406e-05, 0.0]",9.094946972029363e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.1,True
