action,state,next_state,count,cell_total,probability
0,0,0,1241,1730,0.7173410404624277
0,0,1,437,1730,0.2526011560693642
0,0,2,52,1730,0.03005780346820809
0,1,0,60,685,0.08759124087591241
0,1,1,485,685,0.708029197080292
0,1,2,140,685,0.20437956204379562
0,2,0,4,200,0.02
0,2,1,30,200,0.15
0,2,2,166,200,0.83
1,0,0,986,1105,0.8923076923076924
1,0,1,104,1105,0.09411764705882353
1,0,2,15,1105,0.013574660633484163
1,1,0,470,752,0.625
1,1,1,239,752,0.3178191489361702
1,1,2,43,752,0.057180851063829786
1,2,0,118,328,0.3597560975609756
1,2,1,153,328,0.46646341463414637
1,2,2,57,328,0.17378048780487804
