estimator,start_id,start_theta_x,start_replacement_cost,theta_x,replacement_cost,objective,optimizer_success,optimizer_status,optimizer_message,raw_gradient_theta_x,raw_gradient_replacement_cost,projected_gradient_theta_x,projected_gradient_replacement_cost,projected_gradient_max,accepted,objective_gap_from_best
NFXP,0,0.2,1.2,0.6141485713777569,3.3091667741249062,0.5169302208662998,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1.4821477379142395e-08,9.075255152034914e-09,-1.4821477379142395e-08,9.075255152034914e-09,1.4821477379142395e-08,True,5.551115123125783e-16
NFXP,1,0.35,5.5,0.6141485388723869,3.3091664821549203,0.5169302208662993,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1796119636957899e-08,-4.428590705249027e-09,1.1796119636957899e-08,-4.428590705249027e-09,1.1796119636957899e-08,True,0.0
NFXP,2,0.75,3.0,0.6141485805077236,3.309166591459727,0.5169302208662997,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.614575223062198e-08,-4.797639772301338e-09,2.614575223062198e-08,-4.797639772301338e-09,2.614575223062198e-08,True,4.440892098500626e-16
NFXP,3,1.2,2.0,0.6141484830429272,3.309166530491442,0.5169302208663004,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-4.335420911277233e-08,9.066868337777622e-09,-4.335420911277233e-08,9.066868337777622e-09,4.335420911277233e-08,True,1.1102230246251565e-15
NFXP,4,1.4,5.7,0.6141486510175171,3.3091667415915436,0.5169302208663017,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.7037707891643486e-08,-7.716483199839454e-09,5.7037707891643486e-08,-7.716483199839454e-09,5.7037707891643486e-08,True,2.4424906541753444e-15
CCP,0,0.2,1.2,0.6165996847675814,3.336462708895308,0.0036730123927172977,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-4.030781784844105e-08,-5.325631998369262e-09,-4.030781784844105e-08,-5.325631998369262e-09,4.030781784844105e-08,True,1.4224732503009818e-16
CCP,1,0.35,5.5,0.6165996848175603,3.336462710200781,0.0036730123927172552,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-4.2397942796614524e-08,-4.240150379795839e-09,-4.2397942796614524e-08,-4.240150379795839e-09,4.2397942796614524e-08,True,9.974659986866641e-17
CCP,2,0.75,3.0,0.6165996876033254,3.3364627193601204,0.0036730123927171555,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-3.69091692982598e-08,-1.2981975353251291e-09,-3.69091692982598e-08,-1.2981975353251291e-09,3.69091692982598e-08,True,0.0
CCP,3,1.2,2.0,0.6165996865633014,3.336462716755828,0.00367301239271716,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-4.051826149012611e-08,-1.658313308526149e-09,-4.051826149012611e-08,-1.658313308526149e-09,4.051826149012611e-08,True,4.336808689942018e-18
CCP,4,1.4,5.7,0.6165996835597429,3.336462702811767,0.003673012392717412,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-3.864421803493478e-08,-8.512666353976585e-09,-3.864421803493478e-08,-8.512666353976585e-09,3.864421803493478e-08,True,2.5673907444456745e-16
