action,state,next_state,count,probability,row_total
0,0,0,1131,0.24581612692892849,4601
0,0,1,3470,0.7541838730710715,4601
0,0,2,0,0.0,4601
0,0,3,0,0.0,4601
0,0,4,0,0.0,4601
0,1,0,0,0.0,3560
0,1,1,875,0.24578651685393257,3560
0,1,2,2685,0.7542134831460674,3560
0,1,3,0,0.0,3560
0,1,4,0,0.0,3560
0,2,0,0,0.0,1536
0,2,1,0,0.0,1536
0,2,2,355,0.23111979166666666,1536
0,2,3,1181,0.7688802083333334,1536
0,2,4,0,0.0,1536
0,3,0,0,0.0,423
0,3,1,0,0.0,423
0,3,2,0,0.0,423
0,3,3,96,0.22695035460992907,423
0,3,4,327,0.7730496453900709,423
0,4,0,0,0.0,134
0,4,1,0,0.0,134
0,4,2,0,0.0,134
0,4,3,0,0.0,134
0,4,4,134,1.0,134
1,0,0,447,0.8596153846153847,520
1,0,1,73,0.14038461538461539,520
1,0,2,0,0.0,520
1,0,3,0,0.0,520
1,0,4,0,0.0,520
1,1,0,1189,0.8474697077690663,1403
1,1,1,214,0.1525302922309337,1403
1,1,2,0,0.0,1403
1,1,3,0,0.0,1403
1,1,4,0,0.0,1403
1,2,0,1278,0.8542780748663101,1496
1,2,1,218,0.14572192513368984,1496
1,2,2,0,0.0,1496
1,2,3,0,0.0,1496
1,2,4,0,0.0,1496
1,3,0,781,0.8639380530973452,904
1,3,1,123,0.13606194690265486,904
1,3,2,0,0.0,904
1,3,3,0,0.0,904
1,3,4,0,0.0,904
1,4,0,367,0.8676122931442081,423
1,4,1,56,0.13238770685579196,423
1,4,2,0,0.0,423
1,4,3,0,0.0,423
1,4,4,0,0.0,423
